Title,Type,Amount,Date
Screen Replacement - iPhone 13,income,8500,2026-01-05
Laptop RAM Upgrade 16GB,income,4500,2026-01-12
Shop Rent January,expense,12000,2026-01-15
Battery Replacement - Samsung S22,income,3200,2026-01-20
Tools & Soldering Kit,expense,2500,2026-01-25
Motherboard Repair - Dell XPS,income,9500,2026-02-02
Keyboard Replacement,income,2200,2026-02-10
Shop Rent February,expense,12000,2026-02-15
Data Recovery Service,income,12000,2026-02-22
Spare Parts Stock Bulk,expense,8000,2026-02-25
Laptop Hinge Repair,income,1500,2026-03-01
Gaming PC Cleaning & Paste,income,3000,2026-03-05
MacBook Screen Fix,income,18000,2026-03-10
Shop Rent March,expense,12000,2026-03-15
Graphic Card Repair,income,7500,2026-03-20
New Diagnostic Software,expense,4000,2026-03-25
Title,Type,Amount,Date
iPhone 13 Display Replacement,sales,8500,2026-01-08
Laptop SSD Upgrade 512GB,sales,4200,2026-01-15
HP Pavilion Battery Replacement,sales,3500,2026-01-22
Logitech Wireless Mouse Sale,sales,1200,2026-02-05
MacBook Pro Keyboard Repair,sales,12500,2026-02-14
Universal Laptop Charger,sales,1800,2026-02-21
Data Recovery Service Fee,sales,15000,2026-03-03
CCTV Camera 4-Pack System,sales,22000,2026-03-12
Dell Vostro Motherboard Fix,sales,9000,2026-03-20
Thermal Paste & Cleaning Service,sales,1500,2026-03-28
